scenario_family,rows,positive_support,negative_support,prevalence,predicted_positive_rate,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,f2,accuracy,balanced_accuracy,false_positive_rate,false_negative_rate,specificity,brier_score,expected_calibration_error_10_bin,pr_auc,roc_auc
anomaly_or_liquidity,3678,915,2763,0.24877650897226752,0.2553017944535073,2588,175,151,764,0.8136315228966986,0.8349726775956284,0.8241639697950378,0.8306153511632963,0.9113648722131593,0.8858178625039308,0.06333695258776692,0.1650273224043716,0.936663047412233,0.07087586073835776,0.04517411638662314,0.9064436391286574,0.960661275361975
combined_adversarial,9892,2632,7260,0.26607359482410026,0.27315002021835827,6750,510,440,2192,0.8112509252405625,0.8328267477203647,0.8218972628421447,0.8284202569916855,0.9039627982207845,0.8812894069180336,0.07024793388429752,0.16717325227963525,0.9297520661157025,0.07544354982494673,0.05515937589870602,0.9075192778016801,0.9540398632637511
data_quality,2925,0,2925,0.0,0.011282051282051283,2892,33,0,0,0.0,0.0,0.0,0.0,0.9887179487179487,0.9887179487179487,0.011282051282051283,,0.9887179487179487,0.0019407463147968836,0.018935623124786326,,
hard_negative_normal,7014,312,6702,0.04448246364414029,0.0677216994582264,6444,258,95,217,0.4568421052631579,0.6955128205128205,0.5514612452350699,0.6297156123041208,0.9496720844026233,0.8285084245804926,0.03849597135183527,0.30448717948717946,0.9615040286481648,0.02498712286482731,0.008466192215568866,0.6398696559166677,0.9507011875521275
normal,24491,841,23650,0.03433914499203789,0.007063819362214691,23524,126,794,47,0.27167630057803466,0.0558858501783591,0.09270216962524655,0.06644048628781453,0.9624351802703034,0.5252790773090527,0.0053276955602537,0.9441141498216409,0.9946723044397463,0.03216736106011012,0.015844124065575105,0.11152984885928235,0.7190510893856855
