context,rows,anomaly_prevalence,anomaly_precision,anomaly_recall,anomaly_fpr,shortage_60m_prevalence,shortage_60m_precision,shortage_60m_recall,shortage_60m_fpr,review_rate
all,48000,0.3436458333333333,0.9315244603829759,0.8346165504698393,0.03212188541501349,0.09791666666666667,0.7450254511800093,0.6851063829787234,0.025450346420323327,0.3189375
festival,1381,0.5829109341057205,0.9836956521739131,0.8993788819875776,0.020833333333333332,0.13106444605358436,0.7552083333333334,0.8011049723756906,0.03916666666666667,0.5445329471397538
salary,1583,0.5837018319646241,0.9926289926289926,0.8744588744588745,0.009104704097116844,0.16171825647504737,0.7398648648648649,0.85546875,0.058025621703089676,0.5622236260265319
remittance,1808,0.5934734513274337,0.9861995753715499,0.8657968313140727,0.017687074829931974,0.18252212389380532,0.7852941176470588,0.8090909090909091,0.04939106901217862,0.5625
market_day,1819,0.5794392523364486,0.9846153846153847,0.9108159392789373,0.0196078431372549,0.16877405167674547,0.7465181058495822,0.8729641693811075,0.06018518518518518,0.565695437053326
network_recovery,1473,0.5648336727766463,0.9910941475826972,0.9362980769230769,0.0109204368174727,0.15953835709436523,0.7972350230414746,0.7361702127659574,0.035541195476575124,0.5532926001357773
any_rush_context,6591,0.5850402063419815,0.9867320449956735,0.8871887966804979,0.016819012797074956,0.162949476558944,0.7573715248525695,0.8370577281191807,0.052202283849918436,0.559550902746169
hard_negative,16906,0.5851177096888679,0.9329614709224253,0.9130610594419734,0.09252922725976619,0.17413935880752396,0.7582625118035883,0.8182744565217391,0.05500644606789858,0.5964154737962853
data_quality_issue,12817,1.0,1.0,0.8725910899586486,,0.20535226652102676,0.8014625228519195,0.8328267477203647,0.05331369661266568,0.8764141374736678
healthy_data,35183,0.10453912400875423,0.7184979137691238,0.702283849918434,0.03212188541501349,0.058778387289315864,0.647763074984247,0.49709864603481624,0.016880567718556547,0.1158514055083421
